icao,iata,name,country,callsign
UGX,QU,East African,Uganda,CRANE
EZE,T3,Eastern Airways,United Kingdom,EASTFLIGHT
ELA,DK,Eastland Air,Australia,
EDW,WK,Edelweiss Air,Switzerland,EDELWEISS
MSR,MS,Egyptair,Egypt,EGYPTAIR
ELY,LY,El Al Israel Airlines,Israel,ELAL
BRQ,UZ,El-Buraq Air Transport,Libya,BURAQAIR
UAE,EK,Emirates,United Arab Emirates,EMIRATES
EEA,EU,Empresa Ecuatoriana De Aviacion,Ecuador,ECUATORIANA
ERT,B8,Eritrean Airlines,Eritrea,ERITREAN
ELL,OV,Estonian Air,Estonia,ESTONIAN
ETH,ET,Ethiopian Airlines,Ethiopia,ETHIOPIAN
ETD,EY,Etihad Airways,United Arab Emirates,ETIHAD
ECA,UI,Eurocypria Airlines,Cyprus,EUROCYPRIA
EEU,GJ,Eurofly Service,Italy,EUROFLY
ELO,K2,Eurolot,Poland,EUROLOT
EAL,EA,European Air Express,Germany,STAR WING
EWG,EW,Eurowings,Germany,EUROWINGS
EIA,EZ,Evergreen International Airlines,United States,EVERGREEN
XLA,JN,Excel Airways,United Kingdom,EXPO
LHN,EO,Express One International,United States,LONGHORN
BTA,XE,ExpressJet,United States,JET LINK
EZY,U2,easyJet,United Kingdom,EASY
EFA,EF,Far Eastern Air Transport,Taiwan,Far Eastern
FIN,AY,Finnair,Finland,FINNAIR
WBA,FC,Finncomm Airlines,Finland,WESTBIRD
FFM,FY,Firefly,Malaysia,FIREFLY
FAB,7F,First Air,Canada,
FCA,DP,First Choice Airways,United Kingdom,JETSET
FLT,B5,Flightline,United Kingdom,FLIGHTLINE
FWL,RF,Florida West International Airways,United States,FLO WEST
XAX,D7,AirAsia X,Malaysia,XANADU
LIL,TE,FlyLal,Lithuania,LITHUANIA AIR
NDC,LF,FlyNordic,Sweden,NORDIC
BBO,F7,Flybaboo,Switzerland,BABOO
BEE,BE,Flybe,United Kingdom,JERSEY
GSM,B4,Flyglobespan,United Kingdom,GLOBESPAN
FOS,VY,Formosa Airlines,Taiwan,
FRE,FP,Freedom Air,United States,FREEDOM
FFT,F9,Frontier Airlines,United States,FRONTIER FLIGHT
FTA,2F,Frontier Flying Service,United States,FRONTIER-AIR
GBL,GT,GB Airways,United Kingdom,GEEBEE AIRWAYS
GIA,GA,Garuda Indonesia,Indonesia,INDONESIA
GZP,4G,Gazpromavia,Russia,GAZPROMAVIA
TGZ,A9,Georgian Airways,Georgia,TAMAZI
GFG,QB,Georgian National Airlines,Georgia,NATIONAL
GMI,ST,Germania,Germany,GERMANIA
GWI,4U,Germanwings,Germany,GERMAN WINGS
GHB,G0,Ghana International Airlines,Ghana,GHANA AIRLINES
GOW,G8,Go Air,India,GOAIR
GJS,G7,GoJet Airlines,United States,GATEWAY
GLO,G3,Gol Transportes Aéreos,Brazil,GOL TRANSPORTE
GAO,DC,Golden Air,Sweden,GOLDEN
GLA,ZK,Great Lakes Airlines,United States,LAKES AIR
TAT,TA,Grupo TACA,Costa Rica,TACA-COSTARICA
GBA,GF,Gulf Air Bahrain,Bahrain,GULF BAHRAIN
HAG,H6,Hageland Aviation Services,United States,HAGELAND
CHH,HU,Hainan Airlines,China,HAINAN
HAM,2T,Haiti Ambassador Airlines,Haiti,
HHI,4R,Hamburg International,Germany,HAMBURG JET
HLX,X3,TUIfly,Germany,YELLOW CAB
HLF,HF,Hapagfly,Germany,HAPAG LLOYD
HAL,HA,Hawaiian Airlines,United States,HAWAIIAN
HFR,8H,Heli France,France,HELIFRANCE
JBA,JB,Helijet,Canada,HELIJET
HEJ,T4,Hellas Jet,Greece,HELLAS JET
FHE,HW,Hello,Switzerland,FLYHELLO
OAW,2L,Helvetic Airways,Switzerland,HELVETIC
HER,UD,Hex'Air,France,HEX AIRLINE
ADO,HD,Hokkaido International Airlines,Japan,AIR DO
CRK,HX,Hong Kong Airlines,Hong Kong SAR of China,BAUHINIA
HKE,UO,Hong Kong Express Airways,Hong Kong SAR of China,HONGKONG SHUTTLE
QXE,QX,Horizon Air,United States,HORIZON AIR
HZA,BN,Horizon Airlines,Australia,
IBE,IB,Iberia Airlines,Spain,IBERIA
IWD,TY,Iberworld,Spain,
IBX,FW,Ibex Airlines,Japan,IBEX
ICE,FI,Icelandair,Iceland,ICEAIR
ITX,IK,Imair Airlines,Azerbaijan,IMPROTEX
IGO,6E,IndiGo Airlines,India,IFLY
IAC,IC,Indian Airlines,India,INDAIR
IBU,I9,Indigo,United States,INDIGO BLUE
AWQ,QZ,Indonesia AirAsia,Indonesia,WAGON AIR
IAA,IO,Indonesian Airlines,Indonesia,INDO LINES
ILN,D6,Interair South Africa,South Africa,INLINE
SUW,ZA,Interavia Airlines,Russia,ASTAIR
ITK,ID,Interlink Airlines,South Africa,INTERLINK
ISK,3L,Intersky,Austria,INTERSKY
IRA,IR,Iran Air,Iran,IRANAIR
IRC,EP,Iran Aseman Airlines,Iran,
IAW,IA,Iraqi Airways,Iraq,IRAQI
CGP,8L,Cargo Plus Aviation,United Arab Emirates,
ISW,IF,Islas Airways,Spain,PINTADERA
ISV,WC,Islena De Inversiones,Honduras,
ISR,6H,Israir,Israel,ISRAIR
IKA,GI,Itek Air,Kyrgyzstan,ITEK-AIR
JEX,JC,JAL Express,Japan,JANEX
JAZ,JO,JALways,Japan,JALWAYS
JAL,JL,Japan Airlines,Japan,JAPANAIR
JAL,JL,Japan Airlines Domestic,Japan,J-BIRD
JAA,EG,Japan Asia Airways,Japan,ASIA
JTA,NU,Japan Transocean Air,Japan,JAI OCEAN
JZR,J9,Jazeera Airways,Kuwait,JAZEERA
JJA,7C,Jeju Air,Republic of Korea,JEJU AIR
JAI,9W,Jet Airways,India,JET AIRWAYS
JSA,3K,Jetstar Asia Airways,Singapore,JETSTAR ASIA
EXS,LS,Jet2.com,United Kingdom,CHANNEX
JFU,8J,Jet4You,Morocco,ARGAN
JBU,B6,JetBlue Airways,United States,JETBLUE
JAF,JF,Jetairfly,Belgium,BEAUTY
JST,JQ,Jetstar Airways,Australia,JETSTAR
DKH,HO,Juneyao Airlines,China,JUNEYAO AIRLINES
KNI,KD,KD Avia,Russia,KALININGRAD AIR
KLC,WA,KLM Cityhopper,Netherlands,CITY
KLM,KL,KLM Royal Dutch Airlines,Netherlands,KLM
KMF,RQ,Kam Air,Afghanistan,KAMGAR
MVD,KV,Kavminvodyavia,Russia,AIR MINVODY
KEN,M5,Kenmore Air,United States,KENMORE
KQA,KQ,Kenya Airways,Kenya,KENYA
KFR,IT,Kingfisher Airlines,India,KINGFISHER
IRK,Y9,Kish Air,Iran,KISHAIR
KGL,7K,Kogalymavia Air Company,Russia,KOGALYM
KAL,KE,Korean Air,Republic of Korea,KOREANAIR
KJC,7B,Krasnojarsky Airlines,Russia,KRASNOJARSKY AIR
KIL,GW,Kuban Airlines,Russia,AIR KUBAN
KAC,KU,Kuwait Airways,Kuwait,KUWAITI
KZU,GO,Kuzu Airlines Cargo,Turkey,KUZU CARGO
LRC,LR,LACSA,Costa Rica,LACSA
LAN,LA,LAN Airlines,Chile,LAN
DSM,4M,LAN Argentina,Argentina,LAN AR
LXP,LU,LAN Express,Chile,LANEX
LPE,LP,LAN Peru,Peru,LANPERU
LOT,LO,LOT Polish Airlines,Poland,POLLOT
LTE,XO,LTE International Airways,Spain,FUN JET
LTO,L3,LTU Austria,Austria,BILLA TRANSPORT
LAO,QV,Lao Airlines,Lao Peoples Democratic Republic,LAO
LDA,NG,Lauda Air,Austria,LAUDA AIR
LIA,LI,Leeward Islands Air Transport,Antigua and Barbuda,LIAT
LAA,LN,Libyan Arab Airlines,Libya,LIBAIR
LAM,LM,Linhas A,Mozambique,MOZAMBIQUE
LNI,JT,Lion Mentari Airlines,Indonesia,LION INTER
LGW,HE,Luftfahrtgesellschaft Walter,Germany,WALTER
DLH,LH,Lufthansa,Germany,LUFTHANSA
GEC,LH,Lufthansa Cargo,Germany,LUFTHANSA CARGO
CLH,CL,Lufthansa CityLine,Germany,HANSALINE
LTR,L5,Lufttransport,Norway,LUFT TRANSPORT
LGL,LG,Luxair,Luxembourg,LUXAIR
LPR,MJ,L,Argentina,LAPA
MAA,M7,MasAir,Mexico,MAS CARGA
MAK,IN,MAT Macedonian Airlines,Macedonia,MAKAVIO
MGL,OM,MIAT Mongolian Airlines,Mongolia,MONGOL AIR
MNB,MB,MNG Airlines,Turkey,BLACK SEA
MCK,CC,Macair Airlines,Australia,
IRM,W5,Mahan Air,Iran,MAHAN AIR
MAS,MH,Malaysia Airlines,Malaysia,MALAYSIAN
SCW,TF,Malmö Aviation,Sweden,Scanwings
MAC,R5,Malta Air Charter,Malta,MALTA CHARTER
MAH,MA,Malév,Hungary,MALEV
MDL,RI,Mandala Airlines,Indonesia,MANDALA
MDA,AE,Mandarin Airlines,Taiwan,Mandarin
MNO,JE,Mango,South Africa,TULCA
MPH,MP,Martinair,Netherlands,MARTINAIR
MXL,8M,Maxair,Sweden,MAXAIR
MYD,MW,Maya Island Air,Belize,MYLAND
ISS,IG,Meridiana,Italy,MERAIR
MNA,MZ,Merpati Nusantara Airlines,Indonesia,MERPATI
ASH,YV,Mesa Airlines,United States,AIR SHUTTLE
MES,XJ,Mesaba Airlines,United States,MESABA
MXA,MX,Mexicana de Aviaci,Mexico,MEXICANA
MEA,ME,Middle East Airlines,Lebanon,CEDAR JET
MDW,JI,Midway Airlines,United States,MIDWAY
MEP,YX,Midwest Airlines,United States,
MWA,MY,Midwest Airlines (Egypt),Egypt,
MDV,2M,Moldavian Airlines,Moldova,MOLDAVIAN
MON,ZB,Monarch Airlines,United Kingdom,MONARCH
MGX,YM,Montenegro Airlines,Montenegro,MONTAIR
GAI,3R,Moskovia Airlines,Russia,GROMOV AIRLINE
MSI,M9,Motor Sich,Ukraine,MOTOR SICH
MYT,VZ,MyTravel Airways,United Kingdom,KESTREL
UBA,UB,Myanma Airways,Myanmar,UNIONAIR
MMM,8M,Myanmar Airways International,Myanmar,assignment postponed
NAS,UE,Nasair,Eritrea,NASAIRWAYS
NJS,NC,National Jet Systems,Australia,NATIONAL JET
NTW,CE,Nationwide Airlines,South Africa,NATIONWIDE
RON,ON,Nauru Air Corporation,Nauru,AIR NAURU
RNA,RA,Nepal Airlines,Nepal,ROYAL NEPAL
EJA,1I,NetJets,United States,EXECJET
NEA,EJ,New England Airlines,United States,NEW ENGLAND
NTJ,2N,NextJet,Sweden,NEXTJET
NLY,HG,Niki,Austria,FLYNIKI
NOK,DD,Nok Air,Thailand,NOK AIR
NWA,NW,Northwest Airlines,United States,NORTHWEST
PLR,J3,Northwestern Air,Canada,POLARIS
NAX,DY,Norwegian Air Shuttle,Norway,NOR SHUTTLE
LBT,BJ,Nouvel Air Tunisie,Tunisia,NOUVELAIR
NVR,1I,Novair,Sweden,NAVIGATOR
KNE,XY,Nas Air,Saudi Arabia,NAS EXPRESS
OHK,O8,Oasis Hong Kong Airlines,Hong Kong,OASIS
ONE,O6,Oceanair,Brazil,OCEANAIR
OAL,OA,Olympic Airlines,Greece,OLYMPIC
OMA,WY,Oman Air,Oman,OMAN AIR
OAE,OY,Omni Air International,United States,OMNI-EXPRESS
OHY,8Q,Onur Air,Turkey,ONUR AIR
ORB,R2,Orenburg Airlines,Russia,ORENBURG
OEA,OX,Orient Thai Airlines,Thailand,ORIENT THAI
OGN,QO,Origin Pacific Airways,New Zealand,ORIGIN
OLT,OL,Ostfriesische Lufttransport,Germany,OLTRA
OLA,OJ,Overland Airways,Nigeria,OVERLAND
OZJ,O7,Ozjet Airlines,Australia,AUSJET
PNR,PV,PAN Air,Spain,SKYJET
PBA,9Q,PB Air,Thailand,PEEBEE AIR
PUA,PU,PLUNA,Uruguay,PLUNA
PMT,U4,PMTair,Cambodia,MULTITRADE
PIC,BL,Jetstar Pacific,Vietnam,PACIFIC AIRLINES
PCO,8P,Pacific Coastal Airline,Canada,PASCO
PEC,Q8,Pacific East Asia Cargo Airlines,Philippines,PAC-EAST CARGO
NMI,LW,Pacific Wings,United States,TSUNAMI
PIA,PK,Pakistan International Airlines,Pakistan,PAKISTAN
PMW,I7,Paramount Airways,India,PARAWAY
PGT,PC,Pegasus Airlines,Turkey,SUNTURK
PEN,KS,Peninsula Airways,United States,PENINSULA
PAL,PR,Philippine Airlines,Philippines,PHILIPPINE
PDT,PI,Piedmont Airlines (1948-1989),United States,PIEDMONT
FLG,9E,Pinnacle Airlines,United States,FLAGSHIP
PAO,PH,Polynesian Airlines,Samoa,POLYNESIAN
POE,PD,Porter Airlines,Canada,PORTER AIR
PGA,NI,Portugalia,Portugal,PORTUGALIA
PDC,BK,Potomac Air,United States,DISTRICT
PRF,PW,Precision Air,Tanzania,PRECISION AIR
QFA,QF,Qantas,Australia,QANTAS
QTR,QR,Qatar Airways,Qatar,QATARI
RXA,ZL,Regional Express,Australia,REX
RPA,RW,Republic Airlines,United States,BRICKYARD
RPH,RH,Republic Express Airlines,Indonesia,PUBLIC EXPRESS
RAR,GZ,Air Rarotonga,Cook Islands,
RAM,AT,Royal Air Maroc,Morocco,ROYALAIR MAROC
RBA,BI,Royal Brunei Airlines,Brunei,BRUNEI
RJA,RJ,Royal Jordanian,Jordan,JORDANIAN
RNA,RA,Royal Nepal Airlines,Nepal,ROYAL NEPAL
RWD,WB,Rwandair Express,Rwanda,RWANDAIR
RYN,RD,Ryan International Airlines,United States,RYAN INTERNATIONAL
RYR,FR,Ryanair,Ireland,RYANAIR
RAE,YS,Régional,France,REGIONAL EUROPE
RZO,S4,SATA International,Portugal,AIR AZORES
SAA,SA,South African Airways,South Africa,SPRINGBOK
SAI,NL,Shaheen Air International,Pakistan,SHAHEEN AIR
SAS,SK,Scandinavian Airlines System,Sweden,SCANDINAVIAN
SBI,S7,S7 Airlines,Russia,SIBERIAN AIRLINES
SBS,BB,Seaborne Airlines,United States,SEABORNE
ALK,UL,SriLankan Airlines,Sri Lanka,SRILANKAN
SCX,SY,Sun Country Airlines,United States,SUN COUNTRY
SEH,G3,Sky Express,Greece,AIR CRETE
SEJ,SG,Spicejet,India,SPICEJET
SFJ,7G,Star Flyer,Japan,STARFLYER
SGY,N5,Skagway Air Service,United States,SKAGWAY AIR
SAT,SP,SATA Air Acores,Portugal,SATA
SIA,SQ,Singapore Airlines,Singapore,SINGAPORE
SIB,5M,Sibaviatrans,Russia,SIBAVIA
SIH,SI,Skynet Airlines,Ireland,BLUEJET
SJY,SJ,Sriwijaya Air,Indonesia,SRIWIJAYA
SMY,ZS,Sama Airlines,Saudi Arabia,NAJIM
SQC,SQ,Singapore Airlines Cargo,Singapore,SINGCARGO
SRH,FT,Siem Reap Airways,Cambodia,SIEMREAP AIR
SRQ,DG,South East Asian Airlines,Philippines,SEAIR
SSV,5G,Skyservice Airlines,Canada,SKYTOUR
STU,FS,Servicios de Transportes A,Argentina,FUEGUINO
SUD,SD,Sudan Airways,Sudan,SUDANAIR
SVA,SV,Saudi Arabian Airlines,Saudi Arabia,SAUDIA
SWA,WN,Southwest Airlines,United States,SOUTHWEST
SWD,A4,Southern Winds Airlines,Argentina,SOUTHERN WINDS
SWR,LX,Swiss International Air Lines,Switzerland,SWISS
SWR,SR,Swissair,Switzerland,Swissair
SWV,WV,Swe Fly,Sweden,FLYING SWEDE
SXS,XQ,SunExpress,Turkey,SUNEXPRESS
SYR,RB,Syrian Arab Airlines,Syrian Arab Republic,SYRIANAIR
SYX,AL,Skywalk Airlines,United States,SKYWAY-EX
CDG,SC,Shandong Airlines,China,SHANDONG
CQH,9S,Spring Airlines,China,AIR SPRING
CSC,3U,Sichuan Airlines,China,SI CHUAN
CSH,FM,Shanghai Airlines,China,SHANGHAI AIR
CSZ,ZH,Shenzhen Airlines,China,SHENZHEN AIR
ERO,7L,Sun D'Or,Israel,ECHO ROMEO
ESK,NE,SkyEurope,Slovakia,RELAX
JKK,JK,Spanair,Spain,SPANAIR
NKS,NK,Spirit Airlines,United States,SPIRIT WINGS
NSE,9R,SATENA,Colombia,SATENA
BBR,S3,Santa Barbara Airlines,Venezuela,SANTA BARBARA
SKU,H2,Sky Airline,Chile,AEROSKY
SKW,OO,SkyWest,United States,SKYWEST
SKX,JZ,Skyways Express,Sweden,SKY EXPRESS
SKY,BC,Skymark Airlines,Japan,SKYMARK
SLK,MI,SilkAir,Singapore,SILKAIR
SLM,PY,Surinam Airways,Suriname,SURINAM
SNB,NB,Sterling Airlines,Denmark,STERLING
SNJ,6J,Skynet Asia Airways,Japan,NEWSKY
SOL,IE,Solomon Airlines,Solomon Islands,SOLOMON
SOV,6W,Saratov Aviation Division,Russia,SARATOV AIR
SOZ,HZ,Sat Airlines,Kazakhstan,SATCO
TCF,S5,Shuttle America,United States,MERCURY
VSV,DV,Scat Air,Kazakhstan,VLASTA
TAE,EQ,TAME,Ecuador,TAME
TAM,JJ,TAM Brazilian Airlines,Brazil,TAM
TAP,TP,TAP Portugal,Portugal,AIR PORTUGAL
TAR,TU,Tunisair,Tunisia,TUNAIR
TCG,T2,Thai Air Cargo,Thailand,THAI CARGO
TCW,FQ,Thomas Cook Airlines,Belgium,THOMAS COOK
TCX,MT,Thomas Cook Airlines,United Kingdom,KESTREL
TGW,TR,Tiger Airways,Singapore,GO CAT
TGW,TT,Tiger Airways Australia,Australia,GO CAT
THA,TG,Thai Airways International,Thailand,THAI
AIQ,FD,Thai AirAsia,Thailand,THAI ASIA
THY,TK,Turkish Airlines,Turkey,TURKAIR
TJT,T7,Twin Jet,France,TWINJET
TMA,TL,Trans Mediterranean Airlines,Lebanon,TANGO LIMA
TNM,3P,Tiara Air,Aruba,TIARA
TOM,BY,Thomsonfly,United Kingdom,TOMSON
TOS,PM,Tropic Air,Belize,TROPISER
TPA,QT,TAMPA,Colombia,TAMPA
TNA,GE,TransAsia Airways,Taiwan,TransAsia
TRA,HV,Transavia Holland,Netherlands,TRANSAVIA
TCV,VR,TACV,Portugal,CABOVERDE
ABS,9T,Transwest Air,Canada,ATHABASKA
TSO,UN,Transaero Airlines,Russia,TRANSOVIET
TUA,T5,Turkmenistan Airlines,Turkmenistan,TURKMENISTAN
TUI,UG,Tuninter,Tunisia,
TVS,QS,Travel Service,Czech Republic,SKYTRAVEL
BLX,6B,TUIfly Nordic,Sweden,BLUESCAN
DTA,DT,TAAG Angola Airlines,Angola,DTA
LAP,PZ,TAM Mercosur,Paraguay,PARAGUAYA
LOF,AX,Trans States Airlines,United States,WATERSKI
ROT,RO,Tarom,Romania,TAROM
URN,3T,Turan Air,Azerbaijan,TURAN
TIB,8R,TRIP Linhas A,Brazil,TRIP
GWY,U5,USA3000 Airlines,United States,GETAWAY
UAL,UA,United Airlines,United States,UNITED
SVR,U6,Ural Airlines,Russia,SVERDLOVSK AIR
UKM,UF,UM Airlines,Ukraine,UKRAINE MEDITERRANEE
USA,US,US Airways,United States,U S AIR
UTA,UT,UTair Aviation,Russia,UTAIR
UZB,HY,Uzbekistan Airways,Uzbekistan,UZBEK
